['ENSG00000198763', 'ENSMUSG00000064345', 'ENSGALG00000043768', 'ENSRNOG00000031033', 'ENSOCUG00000029090', 'ENSMODG00000021566', 'ENSMMUG00000065356']
['ENSG00000198804', 'ENSMUSG00000064351', 'ENSGALG00000032142', 'ENSRNOG00000034234', 'ENSOCUG00000029096', 'ENSMODG00000021572', 'ENSMMUG00000065358']
['ENSG00000198712', 'ENSMUSG00000064354', 'ENSGALG00000032456', 'ENSRNOG00000030371', 'ENSOCUG00000029099', 'ENSMODG00000021575', 'ENSMMUG00000065380']
['ENSG00000198938', 'ENSMUSG00000064358', 'ENSGALG00000035334', 'ENSRNOG00000030700', 'ENSOCUG00000029103', 'ENSMODG00000021579', 'ENSMMUG00000065366']
['ENSG00000198840', 'ENSMUSG00000064360', 'ENSGALG00000030436', 'ENSRNOG00000033615', 'ENSOCUG00000029105', 'ENSMODG00000021581', 'ENSMMUG00000065353']
['ENSG00000198886', 'ENSMUSG00000064363', 'ENSGALG00000036229', 'ENSRNOG00000029707', 'ENSOCUG00000029108', 'ENSMODG00000021584', 'ENSMMUG00000065387']
['ENSG00000198786', 'ENSMUSG00000064367', 'ENSGALG00000029500', 'ENSRNOG00000029971', 'ENSOCUG00000029112', 'ENSMODG00000021588', 'ENSMMUG00000065354']
['ENSG00000198727', 'ENSMUSG00000064370', 'ENSGALG00000032079', 'ENSRNOG00000031766', 'ENSOCUG00000029115', 'ENSMODG00000021591', 'ENSMMUG00000065382']
['ENSG00000134250', 'ENSMUSG00000027878', 'ENSGALG00000002922', 'ENSRNOG00000018835', 'ENSOCUG00000016565', 'ENSMODG00000018700', 'ENSMMUG00000018375']
['ENSG00000265808', 'ENSMUSG00000027879', 'ENSGALG00000039704', 'ENSRNOG00000018673', 'ENSOCUG00000026877', 'ENSMODG00000018705', 'ENSMMUG00000062859']
['ENSG00000186141', 'ENSMUSG00000028099', 'ENSGALG00000052515', 'ENSRNOG00000033560', 'ENSOCUG00000003050', 'ENSMODG00000018745', 'ENSMMUG00000016735']
['ENSG00000131779', 'ENSMUSG00000028102', 'ENSGALG00000052329', 'ENSRNOG00000021216', 'ENSOCUG00000003029', 'ENSMODG00000018750', 'ENSMMUG00000016048']
['ENSG00000271601', 'ENSMUSG00000049288', 'ENSGALG00000048069', 'ENSRNOG00000021213', 'ENSOCUG00000003018', 'ENSMODG00000018753', 'ENSMMUG00000016053']
